Company,Month,Service to Public,Campaign Type,Company Location,Paid to Ad,Percent,Spend,Spent,Impressions,Clicks,CRT,Goal
Ragan Grading & Septic,NOV,Plumbing,Display,,500,0.3,150.0,0.0,0,0,,
Reliance Home Services,NOV,Roofing & HVAC,Display,,,0.3,0.0,0.0,0,0,,
Reliable Pool Enclosures,NOV,,Display,,750,0.3,225.0,80.68,55998,153,0.00273224,
Rosenfelds Deli,NOV,Restaurant,Display,,850,0.3,255.0,0.01,2,0,0.0,
Servpro CDW,NOV,Restoration & Cleaning,Display,,,0.3,0.0,1.0,59,1,0.016949153,
"Servpro Harris, Meriwether, & Stewart",NOV,,Display,,1000,0.3,0.0,137.24,45897,50,0.001089396,
ServPro of Phenix City,NOV,Restoration & Cleaning,Display,,300,0.3,90.0,37.52,25952,83,0.003198212,
Shred A Way,NOV,Office Supply,Display,,400,0.3,120.0,70.24,65796,30,0.000455955,
Shred A Way,NOV,Office Supply,Display,,,0.3,0.0,,0,,,
Smiths Radiator,NOV,Tire & Auto,Display,,,0.3,0.0,0.0,0,0,,
Southern Scarlett,NOV,,Display,,,0.3,0.0,0.0,0,0,,
Success Unlimited Academy,NOV,Church & School,Display,,500,0.3,150.0,101.98,36671,38,0.001036241,
Synovus Minority Birmingham,NOV,Banking,Display,,900,0.3,270.0,0.0,0,0,,
Synovus Minority Naples,NOV,Banking,Display,,900,0.3,270.0,0.0,0,0,,
Synovus Minority Atlanta,NOV,Banking,Display,,900,0.3,270.0,0.0,0,0,,
Synovus Minority Sarasota,NOV,Banking,Display,,900,0.3,270.0,0.0,0,0,,
Synovus Minority Mobile,NOV,Banking,Display,,900,0.3,270.0,0.0,0,0,,
Synovus Minority Orlando,NOV,Banking,Display,,900,0.3,270.0,0.0,0,0,,
Synovus Minority Cape Coral,NOV,Banking,Display,,900,0.3,270.0,0.0,0,0,,
Synovus Minority Hilton Head,NOV,Banking,Display,,900,0.3,270.0,0.0,0,0,,
Synovus Albany Branding ,NOV,Banking,Display,,800,0.3,240.0,70.2,58321,165,0.00282917,
Synovus Mobile Branding ,NOV,Banking,Display,,1350,0.3,405.0,163.75,89858,367,0.004084222,
Synovus Tifton Branding ,NOV,Banking,Display,,600,0.3,180.0,134.61,57700,262,0.004540728,
Synovus Sarasota Branding,NOV,Banking,Display,,1801,0.3,540.3,206.73,120755,499,0.0041323340000000005,
Synovus Warner Robins Branding ,NOV,Banking,Display,,1080,0.3,324.0,125.07,75480,239,0.003166402,
Synovus Valdosta Branding ,NOV,Banking,Display,,750,0.3,225.0,83.46,42143,174,0.0041288,
Synovus Stockbrokers Caribbean ,NOV,Banking,Display,,450,0.3,135.0,76.69,42218,160,0.0037898529999999997,
Synovus Stockbrokers Wellington ,NOV,Banking,Display,,1350,0.3,405.0,183.62,133771,878,0.006563455,
Synovus Stockbrokers Palm Harbor ,NOV,Banking,Display,,1350,0.3,405.0,225.16,136677,570,0.004170416,
Synovus Stockbrokers Vanderbilt ,NOV,Banking,Display,,900,0.3,270.0,142.85,79223,388,0.004897568,
Synovus Stockbrokers Sarasota ,NOV,Banking,Display,,900,0.3,270.0,186.7,98140,335,0.003413491,
The Roofing Guys,NOV,Roofing,Display,,,0.3,0.0,0.0,0,0,,
Tires First - Aletheia,NOV,Tire & Auto,Display,,1700,0.3,510.0,113.18,117661,204,0.001733795,
Tyler Home Improvement,NOV,Home Improvement,Display,,,0.3,0.0,0.0,0,0,,
Tuscan Rose Vineyards,NOV,Winery,Display,,,0.3,0.0,2.82,980,2,0.002040816,
Warrior Restoration,NOV,,Display,,,0.3,0.0,0.0,0,0,,
West Georgia Eye Care,NOV,Medical,Display,,1100,0.3,330.0,228.84,80695,146,0.0018092820000000002,
ACE Air ,SEPT,HVAC,Display,,,0.3,,18.59,6560,9,,
Adams Family Dentistry,SEPT,Dentist,Display,,900,0.3,,113.29,103695,0,,
AirLogic,SEPT,HVAC,Display,,,0.3,,0.0,0,0,,
Aletheia Digital,SEPT,,Display,,,0.3,,0.0,0,0,,
ASP Pools ,SEPT,Landscaping & Pools,Display,,700,0.3,,0.0,0,0,,
Avery Roof Services,SEPT,Roofing,Display,,700,0.3,,0.0,0,0,,
Bennie Smith Funeral Homes,SEPT,Funeral,Display,,1000,0.3,,349.19,106319,121,,
Beracah Homes,SEPT,Housing,Display,,1100,0.3,,336.38,115691,135,,
Bethany Church,SEPT,Church & School,Display,,,0.3,,0.0,0,0,,
Brothers Gutters,SEPT,,Display,,,0.3,,0.0,0,0,,
Butts Mill Farm ,SEPT,,Display,,,0.3,,0.0,0,0,,
Buzzell Plumbing Heating & AC,SEPT,"Plumbing, HVAC",Display,,1000,0.3,,306.22,106337,150,,
Cheap Cheap Trees,SEPT,,Display,,,0.3,,0.0,0,0,,
Childress Dental,SEPT,Dentist,Display,,500,0.3,,74.0,55123,199,,
Chris Moore Roofing,SEPT,Roofing,Display,,350,0.3,,95.9,33866,39,,
Claim Adjusters,SEPT,,Display,,1000,0.3,,0.0,0,0,,
Cofield Comfort Systems,SEPT,HVAC,Display,,500,0.3,,78.98,36772,264,,
Columbus Hospice,SEPT,Medical,Display,,,0.3,,0.0,0,0,,
Columbus Technical College,SEPT,Church & School,Display,,,0.3,,166.9,57988,92,,
Complete Tire,SEPT,Tire & Auto,Display,,600,0.3,,60.12,24792,143,,
Containers by Reaves,SEPT,Waste Management,Display,,500,0.3,,34.55,49284,131,,
Custom Home Furniture,SEPT,,Display,,,0.3,,0.0,0,0,,
Custom Home Sleep Shop,SEPT,,Display,,,0.3,,0.0,0,0,,
Daniel Appliance,SEPT,Appliance,Display,,,0.3,,0.0,0,0,,
Dentistry for Children,SEPT,Dentist,Display,,500,0.3,,151.79,53167,105,,
Desert Steel,SEPT,Retail,Display,,,0.3,,1342.38,453660,352,,
Do It Yourself Pest Control,SEPT,,Display,,500,0.3,,137.94,48156,38,,
Economy Air,SEPT,HVAC,Display,,500,0.3,,49.28,33896,144,,
Elements Lawn & Pest,SEPT,Landscaping & Pools,Display,,600,0.3,,166.4,58001,72,,
E&S Clothing Warehouse,SEPT,,Display,,,0.3,,0.0,0,0,,
Five Star Painting ,SEPT,,Display,,,0.3,,0.0,0,0,,
Fosters Tree Service,SEPT,Tree Service,Display,,,0.3,,0.0,0,0,,
Green Team Dumpster Rentals,SEPT,Waste Management,Display,,250,0.3,,19.58,23296,127,,
Hinson Galleries,SEPT,Furniture,Display,,600,0.3,,166.49,57411,75,,
iAct BIO Pediactric Diabetes Mellitus,SEPT,Clinical Trials,Display,,1125,0.3,,0.0,0,0,,
iAct Cardiomyopathy Trial,SEPT,Clinical Trials,Display,,1125,0.3,,235.93,159481,607,,
iAct Celiac Disease,SEPT,Clinical Trials,Display,,1125,0.3,,0.0,0,0,,
iAct Incyte Ped Eczema,SEPT,Clinical Trials,Display,,,0.3,,62.3,54610,147,,
iAct Lung Cancer,SEPT,Clinical Trials,Display,,,0.3,,103.74,65875,226,,
iAct Lung Cancer Two,SEPT,Clinical Trials,Display,,,0.3,,120.0,77843,225,,
iAct Galera Oral Mucositis,SEPT,Clinical Trials,Display,,1500,0.3,,473.58,286787,968,,
iAct Skin Infection,SEPT,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Pfizer AD ,SEPT,Clinical Trials,Display,,2880,0.3,,173.92,175041,265,,
iAct Ulcerative Colitis ,SEPT,Clinical Trials,Display,,1500,0.3,,307.65,159136,479,,
iAct Ulcerative Shire,SEPT,Clinical Trials,Display,,,0.3,,239.26,154542,302,,
iAct Vivus Adolescent Obes,SEPT,Clinical Trials,Display,,,0.3,,271.43,175361,377,,
JAE of America,SEPT,,Display,,,0.3,,0.0,0,0,,
Law Office of Shanna Rose,SEPT,,Display,,500,0.3,,0.0,0,0,,
Magic Bubbles,SEPT,,Display,,,0.3,,0.0,0,0,,
Marty Rae's Furniture,SEPT,Furniture,Display,,1800,0.3,,551.84,185579,311,,
Maps.org,SEPT,,Display,,,0.3,,0.0,0,0,,
Matt's Roofing & Gutters,SEPT,Roofing,Display,,,0.3,,293.34,132297,489,,
Martin Brothers Body Works,SEPT,Tire & Auto,Display,,,0.3,,0.0,0,0,,
McGuire's Portable Buildings,SEPT,Buildings,Display,,,0.3,,0.0,0,0,,
Midtown OB,SEPT,Medical,Display,,375,0.3,,127.32,65624,243,,
Mikata Japanese Restaurant,SEPT,Restaurant,Display,,,0.3,,0.0,0,0,,
Mold Zero,SEPT,Home Improvement,Display,,600,0.3,,171.07,60880,65,,
NATSB,SEPT,,Display,,500,0.3,,23.3,7819,13,,
Northridge Vet,SEPT,Veterinary,Display,,,0.3,,0.0,0,0,,
Overby Company,SEPT,Office Supply,Display,,400,0.3,,100.37,34374,101,,
Overby Company,SEPT,Office Supply,Display,,,0.3,,,0,,,
Overhead Door -Watertown,SEPT,Garage Door,Display,,,0.3,,0.0,0,0,,
Parkside Dental,SEPT,Dentist,Display,,500,0.3,,123.65,56194,179,,
Pink Monarch,SEPT,Medical,Display,,560,0.3,,93.8,71981,172,,
Piano Crafters,SEPT,,Display,,,0.3,,0.0,0,0,,
Platinum Roofing ,SEPT,,Display,,,0.3,,0.0,0,0,,
PRMC,SEPT,Real Estate,Display,,500,0.3,,144.73,53166,58,,
ProGuard 562,SEPT,Roofing & HVAC,Display,,500,0.3,,0.0,0,0,,
Ragan Grading & Septic,SEPT,Plumbing,Display,,500,0.3,,125.18,42412,85,,
Reliance Home Services,SEPT,Roofing & HVAC,Display,,,0.3,,0.0,0,0,,
Reliable Pool Enclosures,SEPT,,Display,,750,0.3,,154.41,68201,100,,
Rosenfelds Deli,SEPT,Restaurant,Display,,850,0.3,,258.99,87814,118,,
Servpro CDW,SEPT,Restoration & Cleaning,Display,,,0.3,,80.32,44635,79,,
"Servpro Harris, Meriwether, & Stewart",SEPT,,Display,,,0.3,,0.0,0,0,,
ServPro of Phenix City,SEPT,Restoration & Cleaning,Display,,300,0.3,,110.53,60843,199,,
Shred A Way,SEPT,Office Supply,Display,,400,0.3,,50.56,51249,13,,
Shred A Way,SEPT,Office Supply,Display,,,0.3,,,0,,,
Smiths Radiator,SEPT,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Southern Scarlett,SEPT,,Display,,,0.3,,0.0,0,0,,
Success Unlimited Academy,SEPT,Church & School,Display,,500,0.3,,151.65,53171,80,,
Synovus Minority Birmingham,SEPT,Banking,Display,,900,0.3,,240.99,117458,390,,
Synovus Minority Naples,SEPT,Banking,Display,,900,0.3,,0.0,0,0,,
Synovus Minority Atlanta,SEPT,Banking,Display,,900,0.3,,256.65,142145,498,,
Synovus Minority Sarasota,SEPT,Banking,Display,,900,0.3,,183.33,111171,469,,
Synovus Minority Mobile,SEPT,Banking,Display,,900,0.3,,221.96,114283,189,,
Synovus Minority Orlando,SEPT,Banking,Display,,900,0.3,,251.43,119460,335,,
Synovus Minority Cape Coral,SEPT,Banking,Display,,900,0.3,,0.0,0,0,,
Synovus Minority Hilton Head,SEPT,Banking,Display,,900,0.3,,248.09,148657,403,,
Synovus Albany Branding ,SEPT,Banking,Display,,800,0.3,,195.33,152282,361,,
Synovus Mobile Branding ,SEPT,Banking,Display,,,0.3,,0.0,0,0,,
Synovus Tifton Branding ,SEPT,Banking,Display,,600,0.3,,209.83,96861,406,,
Synovus Sarasota Branding,SEPT,Banking,Display,,1800,0.3,,682.75,323945,1372,,
Synovus Warner Robins Branding ,SEPT,Banking,Display,,1080,0.3,,231.64,146926,328,,
Synovus Valdosta Branding ,SEPT,Banking,Display,,750,0.3,,141.68,64108,378,,
Synovus Stockbrokers Caribbean ,SEPT,Banking,Display,,900,0.3,,0.0,0,0,,
Synovus Stockbrokers Wellington ,SEPT,Banking,Display,,900,0.3,,0.0,0,0,,
Synovus Stockbrokers Palm Harbor ,SEPT,Banking,Display,,900,0.3,,0.0,0,0,,
Synovus Stockbrokers Vanderbilt ,SEPT,Banking,Display,,900,0.3,,0.0,0,0,,
Synovus Stockbrokers Sarasota ,SEPT,Banking,Display,,900,0.3,,14.99,5046,39,,
The Roofing Guys,SEPT,Roofing,Display,,,0.3,,0.0,0,0,,
Tires First - Aletheia,SEPT,Tire & Auto,Display,,860,0.3,,110.35,153524,214,,
Tyler Home Improvement,SEPT,Home Improvement,Display,,,0.3,,0.0,0,0,,
Tuscan Rose Vineyards,SEPT,Winery,Display,,,0.3,,0.0,0,0,,
Warrior Restoration,SEPT,,Display,,,0.3,,0.0,0,0,,
West Georgia Eye Care,SEPT,Medical,Display,,1100,0.3,,334.69,116971,153,,
ACE Air ,AUG,HVAC,Display,,,0.3,,0.0,0,0,,
Adams Family Dentistry,AUG,Dentist,Display,,900,0.3,,132.39,102550,0,,
AirLogic,AUG,HVAC,Display,,,0.3,,0.0,0,0,,
Aletheia Digital,AUG,,Display,,,0.3,,0.0,0,0,,
ASP Pools ,AUG,Landscaping & Pools,Display,,700,0.3,,191.43,164017,719,,
Avery Roof Services,AUG,Roofing,Display,,,0.3,,252.27,72475,155,,
Bennie Smith Funeral Homes,AUG,Funeral,Display,,1000,0.3,,360.54,110004,148,,
Beracah Homes,AUG,Housing,Display,,1100,0.3,,349.56,120003,112,,
Bethany Church,AUG,Church & School,Display,,,0.3,,0.0,0,0,,
Brothers Gutters,AUG,,Display,,,0.3,,0.0,0,0,,
Butts Mill Farm ,AUG,,Display,,,0.3,,0.0,0,0,,
Buzzell Plumbing Heating & AC,AUG,"Plumbing, HVAC",Display,,1000,0.3,,320.98,110001,187,,
Cheap Cheap Trees,AUG,,Display,,,0.3,,0.0,0,0,,
Childress Dental,AUG,Dentist,Display,,500,0.3,,75.25,57121,213,,
Chris Moore Roofing,AUG,Roofing,Display,,350,0.3,,125.91,45000,49,,
Claim Adjusters,AUG,,Display,,,0.3,,0.0,0,0,,
Cofield Comfort Systems,AUG,HVAC,Display,,500,0.3,,114.39,56961,244,,
Columbus Hospice,AUG,Medical,Display,,,0.3,,0.0,0,0,,
Columbus Technical College,AUG,Church & School,Display,,,0.3,,171.32,60000,111,,
Complete Tire,AUG,Tire & Auto,Display,,1000,0.3,,281.79,131269,237,,
Containers by Reaves,AUG,Waste Management,Display,,500,0.3,,32.43,45401,142,,
Custom Home Furniture,AUG,,Display,,,0.3,,0.0,0,0,,
Custom Home Sleep Shop,AUG,,Display,,,0.3,,0.0,0,0,,
Daniel Appliance,AUG,Appliance,Display,,,0.3,,0.0,0,0,,
Dentistry for Children,AUG,Dentist,Display,,500,0.3,,159.55,55001,126,,
Desert Steel,AUG,Retail,Display,,,0.3,,2239.34,755159,530,,
Do It Yourself Pest Control,AUG,,Display,,500,0.3,,40.12,13986,32,,
Economy Air,AUG,HVAC,Display,,500,0.3,,68.69,45727,131,,
Elements Lawn & Pest,AUG,Landscaping & Pools,Display,,600,0.3,,166.45,60002,87,,
E&S Clothing Warehouse,AUG,,Display,,,0.3,,0.0,0,0,,
Five Star Painting ,AUG,,Display,,,0.3,,0.0,0,0,,
Fosters Tree Service,AUG,Tree Service,Display,,,0.3,,0.0,0,0,,
Green Team Dumpster Rentals,AUG,Waste Management,Display,,250,0.3,,13.09,20119,79,,
Hinson Galleries,AUG,Furniture,Display,,600,0.3,,191.16,66000,80,,
iAct BIO Pediactric Diabetes Mellitus,AUG,Clinical Trials,Display,,1125,0.3,,0.0,0,0,,
iAct Cardiomyopathy Trial,AUG,Clinical Trials,Display,,1125,0.3,,140.14,84277,295,,
iAct Celiac Disease,AUG,Clinical Trials,Display,,1125,0.3,,0.0,0,0,,
iAct Incyte Ped Eczema,AUG,Clinical Trials,Display,,,0.3,,69.84,60468,222,,
iAct Lung Cancer,AUG,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Lung Cancer Two,AUG,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Galera Oral Mucositis,AUG,Clinical Trials,Display,,1500,0.3,,40.25,20591,104,,
iAct Skin Infection,AUG,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Pfizer AD ,AUG,Clinical Trials,Display,,2880,0.3,,292.72,201536,429,,
iAct Ulcerative Colitis ,AUG,Clinical Trials,Display,,1500,0.3,,276.1,154248,462,,
iAct Ulcerative Shire,AUG,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Vivus Adolescent Obes,AUG,Clinical Trials,Display,,,0.3,,0.0,0,0,,
JAE of America,AUG,,Display,,,0.3,,0.0,0,0,,
Law Office of Shanna Rose,AUG,,Display,,,0.3,,8.68,165,1,,
Magic Bubbles,AUG,,Display,,,0.3,,0.0,0,0,,
Marty Rae's Furniture,AUG,Furniture,Display,,1800,0.3,,555.33,194081,214,,
Maps.org,AUG,,Display,,,0.3,,0.0,0,0,,
Matt's Roofing & Gutters,AUG,Roofing,Display,,1000,0.3,,57.99,34384,99,,
Martin Brothers Body Works,AUG,Tire & Auto,Display,,,0.3,,0.0,0,0,,
McGuire's Portable Buildings,AUG,Buildings,Display,,,0.3,,0.0,0,0,,
Midtown OB,AUG,Medical,Display,,375,0.3,,123.66,52369,212,,
Mikata Japanese Restaurant,AUG,Restaurant,Display,,,0.3,,0.0,0,0,,
Mold Zero,AUG,Home Improvement,Display,,600,0.3,,179.3,62996,80,,
NATSB,AUG,,Display,,,0.3,,0.0,0,0,,
Northridge Vet,AUG,Veterinary,Display,,,0.3,,0.0,0,0,,
Overby Company,AUG,Office Supply,Display,,400,0.3,,116.74,42081,106,,
Overby Company,AUG,Office Supply,Display,,,0.3,,,0,,,
Overhead Door -Watertown,AUG,Garage Door,Display,,,0.3,,0.0,0,0,,
Parkside Dental,AUG,Dentist,Display,,500,0.3,,99.56,41928,155,,
Pink Monarch,AUG,Medical,Display,,560,0.3,,85.01,53847,231,,
Piano Crafters,AUG,,Display,,,0.3,,0.0,0,0,,
Platinum Roofing ,AUG,,Display,,,0.3,,0.0,0,0,,
PRMC,AUG,Real Estate,Display,,500,0.3,,156.06,54997,60,,
ProGuard 562,AUG,Roofing & HVAC,Display,,500,0.3,,0.0,0,0,,
Ragan Grading & Septic,AUG,Plumbing,Display,,500,0.3,,156.03,52102,85,,
Reliance Home Services,AUG,Roofing & HVAC,Display,,,0.3,,0.0,0,0,,
Reliable Pool Enclosures,AUG,,Display,,750,0.3,,4.25,3777,2,,
Rosenfelds Deli,AUG,Restaurant,Display,,850,0.3,,244.19,86637,99,,
Servpro CDW,AUG,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
"Servpro Harris, Meriwether, & Stewart",AUG,,Display,,,0.3,,0.0,0,0,,
ServPro of Phenix City,AUG,Restoration & Cleaning,Display,,300,0.3,,47.06,29097,91,,
Shred A Way,AUG,Office Supply,Display,,400,0.3,,71.71,54169,91,,
Shred A Way,AUG,Office Supply,Display,,,0.3,,,0,,,
Smiths Radiator,AUG,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Southern Scarlett,AUG,,Display,,,0.3,,0.0,0,0,,
Success Unlimited Academy,AUG,Church & School,Display,,500,0.3,,157.03,55001,65,,
Synovus Minority Birmingham,AUG,Banking,Display,,900,0.3,,250.58,135588,244,,
Synovus Minority Naples,AUG,Banking,Display,,900,0.3,,0.0,0,0,,
Synovus Minority Atlanta,AUG,Banking,Display,,900,0.3,,292.38,155766,237,,
Synovus Minority Sarasota,AUG,Banking,Display,,900,0.3,,271.16,144211,323,,
Synovus Minority Mobile,AUG,Banking,Display,,900,0.3,,237.63,120171,134,,
Synovus Minority Orlando,AUG,Banking,Display,,900,0.3,,315.76,154885,393,,
Synovus Minority Cape Coral,AUG,Banking,Display,,900,0.3,,0.0,0,0,,
Synovus Minority Hilton Head,AUG,Banking,Display,,900,0.3,,258.61,116874,296,,
Synovus Albany Branding ,AUG,Banking,Display,,800,0.3,,166.05,130749,274,,
Synovus Mobile Branding ,AUG,Banking,Display,,600,0.3,,0.0,0,0,,
Synovus Tifton Branding ,AUG,Banking,Display,,600,0.3,,168.95,95175,389,,
Synovus Sarasota Branding,AUG,Banking,Display,,1800,0.3,,254.53,177846,669,,
Synovus Warner Robins Branding ,AUG,Banking,Display,,1080,0.3,,223.4,130647,294,,
Synovus Valdosta Branding ,AUG,Banking,Display,,750,0.3,,149.72,79531,381,,
Synovus Stockbrokers Caribbean ,AUG,Banking,Display,,,0.3,,0.0,0,0,,
Synovus Stockbrokers Wellington ,AUG,Banking,Display,,,0.3,,0.0,0,0,,
Synovus Stockbrokers Palm Harbor ,AUG,Banking,Display,,,0.3,,0.0,0,0,,
Synovus Stockbrokers Vanderbilt ,AUG,Banking,Display,,,0.3,,0.0,0,0,,
Synovus Stockbrokers Sarasota ,AUG,Banking,Display,,,0.3,,0.0,0,0,,
The Roofing Guys,AUG,Roofing,Display,,,0.3,,0.0,0,0,,
Tires First - Aletheia,AUG,Tire & Auto,Display,,1700,0.3,,283.23,170148,518,,
Tyler Home Improvement,AUG,Home Improvement,Display,,,0.3,,0.0,0,0,,
Tuscan Rose Vineyards,AUG,Winery,Display,,,0.3,,0.0,0,0,,
Warrior Restoration,AUG,,Display,,,0.3,,0.0,0,0,,
West Georgia Eye Care,AUG,Medical,Display,,1100,0.3,,357.16,121000,151,,
ACE Air ,JULY,HVAC,Display,,,0.3,,0.0,0,0,,
Adams Family Dentistry,JULY,Dentist,Display,,900,0.3,,192.1,114323,417,,
AirLogic,JULY,HVAC,Display,,,0.3,,0.0,0,0,,
Aletheia Digital,JULY,,Display,,,0.3,,0.0,0,0,,
ASP Pools ,JULY,Landscaping & Pools,Display,,,0.3,,0.0,0,0,,
Avery Roof Services,JULY,Roofing,Display,,,0.3,,0.0,0,0,,
Bennie Smith Funeral Homes,JULY,Funeral,Display,,1000,0.3,,362.75,109998,0,,
Beracah Homes,JULY,Housing,Display,,1100,0.3,,346.64,120016,0,,
Bethany Church,JULY,Church & School,Display,,2000,0.3,,0.0,0,0,,
Brothers Gutters,JULY,,Display,,,0.3,,0.0,0,0,,
Butts Mill Farm ,JULY,,Display,,,0.3,,0.0,0,0,,
Buzzell Plumbing Heating & AC,JULY,"Plumbing, HVAC",Display,,1000,0.3,,316.34,110001,0,,
Cheap Cheap Trees,JULY,,Display,,,0.3,,0.0,0,0,,
Childress Dental,JULY,Dentist,Display,,500,0.3,,29.7,24744,90,,
Chris Moore Roofing,JULY,Roofing,Display,,350,0.3,,128.8,45002,0,,
Claim Adjusters,JULY,,Display,,,0.3,,0.0,0,0,,
Cofield Comfort Systems,JULY,HVAC,Display,,500,0.3,,114.18,39484,0,,
Columbus Hospice,JULY,Medical,Display,,,0.3,,0.0,0,0,,
Columbus Technical College,JULY,Church & School,Display,,436.35,0.3,,172.84,60004,0,,
Complete Tire,JULY,Tire & Auto,Display,,1000,0.3,,321.69,110003,0,,
Containers by Reaves,JULY,Waste Management,Display,,500,0.3,,49.33,67554,198,,
Custom Home Furniture,JULY,,Display,,,0.3,,0.0,0,0,,
Custom Home Sleep Shop,JULY,,Display,,,0.3,,0.0,0,0,,
Daniel Appliance,JULY,Appliance,Display,,,0.3,,0.0,0,0,,
Dentistry for Children,JULY,Dentist,Display,,500,0.3,,163.01,55000,0,,
Desert Steel,JULY,Retail,Display,,,0.3,,2016.12,693158,0,,
Do It Yourself Pest Control,JULY,,Display,,,0.3,,0.0,0,0,,
Economy Air,JULY,HVAC,Display,,500,0.3,,126.25,82578,214,,
Elements Lawn & Pest,JULY,Landscaping & Pools,Display,,,0.3,,0.0,0,0,,
E&S Clothing Warehouse,JULY,,Display,,,0.3,,0.0,0,0,,
Five Star Painting ,JULY,,Display,,,0.3,,0.0,0,0,,
Fosters Tree Service,JULY,Tree Service,Display,,,0.3,,0.17,84,1,,
Green Team Dumpster Rentals,JULY,Waste Management,Display,,250,0.3,,0.0,0,0,,
Hinson Galleries,JULY,Furniture,Display,,600,0.3,,183.82,66000,0,,
iAct BIO Pediactric Diabetes Mellitus,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Cardiomyopathy Trial,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Celiac Disease,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Incyte Ped Eczema,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Lung Cancer,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Lung Cancer Two,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Galera Oral Mucositis,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Skin Infection,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Pfizer AD ,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Ulcerative Colitis ,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Ulcerative Shire,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
iAct Vivus Adolescent Obes,JULY,Clinical Trials,Display,,,0.3,,0.0,0,0,,
JAE of America,JULY,,Display,,,0.3,,0.0,0,0,,
Law Office of Shanna Rose,JULY,,Display,,,0.3,,0.0,0,0,,
Magic Bubbles,JULY,,Display,,,0.3,,0.0,0,0,,
Marty Rae's Furniture,JULY,Furniture,Display,,1800,0.3,,554.45,192984,0,,
Maps.org,JULY,,Display,,,0.3,,0.0,0,0,,
Matt's Roofing & Gutters,JULY,Roofing,Display,,250,0.3,,56.89,28775,99,,
Martin Brothers Body Works,JULY,Tire & Auto,Display,,,0.3,,0.0,0,0,,
McGuire's Portable Buildings,JULY,Buildings,Display,,,0.3,,0.0,0,0,,
Midtown OB,JULY,Medical,Display,,375,0.3,,134.22,63350,220,,
Mikata Japanese Restaurant,JULY,Restaurant,Display,,,0.3,,0.0,0,0,,
Mold Zero,JULY,Home Improvement,Display,,600,0.3,,187.47,66000,0,,
NATSB,JULY,,Display,,,0.3,,0.0,0,0,,
Northridge Vet,JULY,Veterinary,Display,,,0.3,,0.0,0,0,,
Overby Company,JULY,Office Supply,Display,,400,0.3,,128.65,50529,109,,
Overby Company,JULY,Office Supply,Display,,,0.3,,,0,,,
Overhead Door -Watertown,JULY,Garage Door,Display,,,0.3,,0.0,0,0,,
Parkside Dental,JULY,Dentist,Display,,500,0.3,,110.3,51641,177,,
Pink Monarch,JULY,Medical,Display,,560,0.3,,83.04,59006,222,,
Piano Crafters,JULY,,Display,,,0.3,,0.0,0,0,,
Platinum Roofing ,JULY,,Display,,,0.3,,0.0,0,0,,
PRMC,JULY,Real Estate,Display,,500,0.3,,160.46,55001,0,,
ProGuard 562,JULY,Roofing & HVAC,Display,,,0.3,,0.0,0,0,,
Ragan Grading & Septic,JULY,Plumbing,Display,,500,0.3,,152.43,50954,0,,
Reliance Home Services,JULY,Roofing & HVAC,Display,,1000,0.3,,8.55,3116,0,,
Reliable Pool Enclosures,JULY,,Display,,,0.3,,0.0,0,0,,
Rosenfelds Deli,JULY,Restaurant,Display,,850,0.3,,263.48,93003,0,,
Servpro CDW,JULY,Restoration & Cleaning,Display,,,0.3,,0.0,0,0,,
"Servpro Harris, Meriwether, & Stewart",JULY,,Display,,,0.3,,0.0,0,0,,
ServPro of Phenix City,JULY,Restoration & Cleaning,Display,,300,0.3,,62.51,37841,137,,
Shred A Way,JULY,Office Supply,Display,,400,0.3,,61.47,68568,43,,
Shred A Way,JULY,Office Supply,Display,,,0.3,,,0,,,
Smiths Radiator,JULY,Tire & Auto,Display,,,0.3,,0.0,0,0,,
Southern Scarlett,JULY,,Display,,,0.3,,0.0,0,0,,
Success Unlimited Academy,JULY,Church & School,Display,,500,0.3,,154.39,55001,0,,
Synovus Minority Birmingham,JULY,Banking,Display,,900,0.3,,312.98,117092,85,,
Synovus Minority Naples,JULY,Banking,Display,,900,0.3,,325.17,107658,17,,
Synovus Minority Atlanta,JULY,Banking,Display,,900,0.3,,335.92,128276,100,,
